feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	logFC_direction
NM_001288960	-4.76772856416775	3.77709184581192	-15.3994165548774	2.12285936664954e-37	2.51896266086772e-33	74.2183084252615	bacterial_vs_viral	higher_in_viral
NM_005532	-4.81837753017959	4.23642872437083	-15.37710816091	2.51908861529849e-37	2.51896266086772e-33	74.0499021714682	bacterial_vs_viral	higher_in_viral
NM_001130080	-4.81705958106437	4.38111043295665	-15.3008529075976	4.52173335691478e-37	2.64942104514239e-33	73.4742112502408	bacterial_vs_viral	higher_in_viral
NM_001288954	-4.79480048589289	3.59905090248978	-15.2721080295354	5.63739522455134e-37	2.64942104514239e-33	73.2571873506293	bacterial_vs_viral	higher_in_viral
NM_001288956	-4.93269689104916	4.11835502120306	-15.2141869518114	8.79157339900911e-37	2.64942104514239e-33	72.8198647003026	bacterial_vs_viral	higher_in_viral
NM_001288958	-4.77312304752019	3.34462887156248	-15.1977632729687	9.97216787556153e-37	2.64942104514239e-33	72.6958569001185	bacterial_vs_viral	higher_in_viral
NM_001288995	-4.93691454242958	3.94131632415083	-15.1975474768237	9.9886916240046e-37	2.64942104514239e-33	72.6942275110227	bacterial_vs_viral	higher_in_viral
NM_001288957	-4.70139009265579	3.28217728743962	-15.1898270820007	1.05982140912741e-36	2.64942104514239e-33	72.6359337876715	bacterial_vs_viral	higher_in_viral
NM_001288952	-4.7889997422139	3.8046399882334	-15.0688127218204	2.68193594769047e-36	5.68208162155024e-33	71.7221726517023	bacterial_vs_viral	higher_in_viral
NM_001366994	-4.73046403960195	3.58964576280519	-15.0612943098138	2.84118286991862e-36	5.68208162155024e-33	71.6654012410982	bacterial_vs_viral	higher_in_viral
NM_001366993	-4.68597091272053	3.5303828472412	-14.9909536641172	4.87376509626157e-36	8.86094801455774e-33	71.1342605631133	bacterial_vs_viral	higher_in_viral
NM_001367089	-4.67137576767998	4.25665906382556	-14.9238640808349	8.1543114560527e-36	1.35898395674665e-32	70.6276770162698	bacterial_vs_viral	higher_in_viral
